"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SW_SPST_Omron_B3FS-100xP";1;"SW_Omron_B3FS";;;
2;"J2";"PinHeader_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_4";;;
3;"C1";"C_0402_1005Metric";1;"2.2uF 35v";;;
4;"C5,C10";"C_0402_1005Metric";2;"2.2nF";;;
5;"J1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
6;"J8,J7,TP1,J6,J4,J3,J5";"TestPoint_Pad_D2.0mm";7;"TestPoint";;;
7;"C9,C6,C2";"C_0402_1005Metric";3;"0.1uF";;;
8;"C8,C7";"C_0402_1005Metric";2;"100nF";;;
9;"C4";"C_0402_1005Metric";1;"10nF";;;
10;"R2";"R_0402_1005Metric";1;"1kOhm";;;
11;"R3";"R_0402_1005Metric";1;"100kOhm";;;
12;"R9,R5,R8,R7,R10,R6,R11,R12";"R_0402_1005Metric";8;"10kOhm";;;
13;"U1";"SOT-23-6";1;"LMR51430";;;
14;"R1";"R_0402_1005Metric";1;"1.5kOhm";;;
15;"R4";"R_0402_1005Metric";1;"13.7kOhm";;;
16;"L1";"L_1812_4532Metric";1;"6.8uH";;;
17;"U2";"SOT-23-6";1;"ADC101C021CIMK";;;
18;"C3";"C_Elec_3x5.4";1;"33uF";;;
19;"D1,D3,D2";"LED_0402_1005Metric";3;"LED";;;
20;"U4";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BMP280";;;
21;"U3";"InvenSense_QFN-24_4x4mm_P0.5mm";1;"MPU-9150";;;
22;"U5";"TSSOP-16_4.4x5mm_P0.65mm";1;"PCA9531PW";;;
