Ref,Val,Package,PosX,PosY,Rot,Side
"C1","UWG1V2R2MCL1GB","C_Elec_4x5.4",15.800000,-14.900000,180.000000,top
"C2","CGA2B1X7T0G105M050BC","C_0402_1005Metric",23.600000,-38.600000,-90.000000,top
"C3","CGA2B1X7T0G105M050BC","C_0402_1005Metric",23.600000,-40.600000,90.000000,top
"C4","C1005X5R1C104K050BA","C_0402_1005Metric",19.400000,-18.400000,-90.000000,top
"C5","UWG1A330MCL1GB","C_Elec_5x5.4",16.800000,-22.400000,90.000000,top
"C6","C1005X5R1C104K050BA","C_0402_1005Metric",23.800000,-43.200000,-90.000000,top
"C7","C1005X5R1C104K050BA","C_0402_1005Metric",25.000000,-47.800000,-90.000000,top
"C8","CL05B104KP5VPNC","C_0402_1005Metric",30.585000,-42.800000,180.000000,top
"C9","C1005X5R1C104K050BA","C_0402_1005Metric",23.800000,-45.200000,-90.000000,top
"C10","CL05B104KP5VPNC","C_0402_1005Metric",30.585000,-41.675000,0.000000,top
"D1","SML-D12U1WT86","LED_0603_1608Metric",14.212500,-29.000000,0.000000,top
"D2","SML-D12U1WT86","LED_0603_1608Metric",14.212500,-32.000000,0.000000,top
"F1","JB12F2001R","Fuse_1206_3216Metric",21.400000,-13.800000,180.000000,top
"L1","ASPI-6045S-6R8M-T","L_1812_4532Metric",21.785000,-23.475000,-90.000000,top
"Q2","BSS138","SOT-23",29.062500,-50.062500,-90.000000,top
"Q3","BSS138","SOT-23",32.800000,-50.062500,-90.000000,top
"Q4","BSS138","SOT-23",29.050000,-56.537500,-90.000000,top
"Q5","BSS138","SOT-23",32.787500,-56.537500,-90.000000,top
"R1","CRCW02011K50FNEDAT","R_0402_1005Metric",31.385000,-15.675000,-90.000000,top
"R2","CRCW02011K00JNEDAT","R_0402_1005Metric",32.385000,-15.675000,90.000000,top
"R3","ERJ-S02J104X","R_0402_1005Metric",14.800000,-18.000000,0.000000,top
"R4","ERA-2APB1372X","R_0402_1005Metric",16.710000,-18.000000,0.000000,top
"R5","RK73G1ERTTP1002F","R_0402_1005Metric",33.400000,-22.400000,90.000000,top
"R6","RK73G1ERTTP1002F","R_0402_1005Metric",32.400000,-22.400000,-90.000000,top
"R7","CRCW040268R0FKTD","R_0402_1005Metric",13.700000,-30.400000,0.000000,top
"R8","RK73G1ERTTP1002F","R_0402_1005Metric",32.385000,-67.875000,180.000000,top
"R9","RK73G1ERTTP1002F","R_0402_1005Metric",32.385000,-65.475000,180.000000,top
"R10","RK73G1ERTTP1002F","R_0402_1005Metric",32.385000,-66.475000,180.000000,top
"R11","RK73G1ERTTP1002F","R_0402_1005Metric",26.600000,-49.910000,90.000000,top
"R12","RK73G1ERTTP1002F","R_0402_1005Metric",35.200000,-50.090000,-90.000000,top
"R13","RK73G1ERTTP1002F","R_0402_1005Metric",26.587500,-55.510000,-90.000000,top
"R14","RK73G1ERTTP1002F","R_0402_1005Metric",35.187500,-55.510000,-90.000000,top
"R15","RK73G1ERTTP1002F","R_0402_1005Metric",29.690000,-52.600000,0.000000,top
"R16","RK73G1ERTTP1002F","R_0402_1005Metric",32.200000,-52.600000,180.000000,top
"R17","RK73G1ERTTP1002F","R_0402_1005Metric",29.587500,-59.200000,0.000000,top
"R18","RK73G1ERTTP1002F","R_0402_1005Metric",32.200000,-59.200000,180.000000,top
"R19","CRCW040268R0FKTD","R_0402_1005Metric",13.700000,-33.400000,0.000000,top
"SW1","TL3301NF160QG-KR","SW_Push_1P1T_NO_CK_KMR2",34.400000,-71.600000,-90.000000,top
"U1","MCP1700x-180xxMB","SOT-89-3",27.000000,-39.600000,0.000000,top
"U2","LMR51430","SOT-23-6",22.000000,-18.400000,90.000000,top
"U3","ADC101C021CIMK","SOT-23-6",32.385000,-18.875000,-90.000000,top
"U4","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",27.200000,-44.650000,-90.000000,top
"U5","BMP280","Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering",33.185000,-42.675000,-90.000000,top
"U6","PCA9531PW","TSSOP-16_4.4x5mm_P0.65mm",27.185000,-68.075000,0.000000,top
