"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D2,D3,D1";"LED_0402_1005Metric";3;"LED";;;
2;"TP13,TP12,TP11,TP10,TP9,TP8,TP7,TP6,TP5,TP4,TP3,TP2";"TestPoint_Pad_D1.0mm";12;"TestPoint";;;
3;"C10";"C_0504_1310Metric";1;"33uF";;;
4;"C23,C22";"C_0402_1005Metric";2;"100nF";;;
5;"C7,C19,C20";"C_0402_1005Metric";3;"0.1uF";;;
6;"C2";"C_0402_1005Metric";1;"2.2uF 35v";;;
7;"R7,R6";"R_0402_1005Metric";2;"10kOhm";;;
8;"R5";"R_0402_1005Metric";1;"1kOhm";;;
9;"R4";"R_0402_1005Metric";1;"1.5kOhm";;;
10;"R3";"R_0402_1005Metric";1;"13.7kOhm";;;
11;"R2";"R_0402_1005Metric";1;"100kOhm";;;
12;"C21,C18";"C_0402_1005Metric";2;"2.2nF";;;
13;"C17";"C_0402_1005Metric";1;"10nF";;;
14;"U3";"QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm";1;"STM32F401CBUx";;;
15;"R10";"R_0402_1005Metric";1;"10k";;;
16;"J7,J1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";2;"Screw_Terminal_01x02";;;
17;"L1";"L_1812_4532Metric";1;"6.8uH";;;
18;"J3,J4,J5,J6,J8";"TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal";5;"Screw_Terminal_01x03";;;
19;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
20;"U1";"SOT-23-6";1;"LMR51430";;;
21;"R9,R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"10kOhm";;;
22;"C6,C4";"CP_Elec_3x5.3";2;"10uF";;;
23;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
24;"U6";"InvenSense_QFN-24_4x4mm_P0.5mm";1;"MPU-6050";;;
25;"U5";"SOT-23-6";1;"ADC101C021CIMK";;;
26;"J2";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Micro";;;
27;"C11,C9,C14";"C_0402_1005Metric";3;"100n";;;
28;"R1";"R_0402_1005Metric";1;"47";;;
29;"TP1";"TestPoint_Pad_D2.0mm";1;"TestPoint";;;
30;"L2";"L_0402_1005Metric";1;"39n";;;
31;"C15";"C_0402_1005Metric";1;"1u";;;
32;"U2";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
33;"C3,C1";"C_0402_1005Metric";2;"12p";;;
34;"C16";"C_0402_1005Metric";1;"10n";;;
35;"U7";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BMP280";;;
36;"C5";"C_0402_1005Metric";1;"2.2uF";;;
37;"C8";"C_0603_1608Metric";1;"4u7";;;
