"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3,C2";"C_0402_1005Metric";2;"1uF";;;
2;"F1";"Fuse_1206_3216Metric";1;"2A";;;
3;"R4";"R_0402_1005Metric";1;"13.7kOhm";;;
4;"C9,C7,C6,C4";"C_0402_1005Metric";4;"0.1uF";;;
5;"R6,R15,R17,R5,R18,R13,R16,R9,R10,R8,R14,R12,R11";"R_0402_1005Metric";13;"10kOhm";;;
6;"U5";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BMP280";;;
7;"D5,D4";"D_0805_2012Metric";2;"D";;;
9;"SW1";"SW_Push_1P1T_NO_CK_KMR2";1;"SW_Omron_B3FS";;;
9;"U6";"TSSOP-16_4.4x5mm_P0.65mm";1;"PCA9531PW";;;
10;"R1";"R_0402_1005Metric";1;"1.5kOhm";;;
11;"U2";"SOT-23-6";1;"LMR51430";;;
12;"D1,D3,D2";"LED_0402_1005Metric";3;"LED";;;
13;"R2";"R_0402_1005Metric";1;"1kOhm";;;
14;"U3";"SOT-23-6";1;"ADC101C021CIMK";;;
15;"U1";"SOT-89-3";1;"MCP1700x-180xxMB";;;
16;"Q2,Q4,Q3,Q5";"SOT-23";4;"BSS138";;;
17;"L1";"L_1812_4532Metric";1;"6.8uH";;;
18;"R3";"R_0402_1005Metric";1;"100kOhm";;;
19;"C10,C8";"C_0402_1005Metric";2;"100nF";;;
20;"U4";"InvenSense_QFN-24_3x3mm_P0.4mm";1;"ICM-20948";;;
21;"C5";"C_Elec_5x5.4";1;"33uF";;;
22;"C1";"C_0402_1005Metric";1;"2.2uF 35v";;;
23;"R7";"R_0402_1005Metric";1;"85Ohm";;;
24;"J3";"PinSocket_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_4";;;
